Order,ID,ComparisonStim,StandardPos,DurationFixCrossSecs,Repetition,Response,BrightnessJudgement
215,2,0.4625,left,1.93416152251895,30,,darker
216,5,0.5,left,1.91363984309413,21,,brighter
217,6,0.5125,left,1.96464704158528,20,,brighter
218,8,0.5375,left,1.58636110221188,23,,brighter
219,8,0.5375,left,1.69183743843922,24,,brighter
220,9,0.55,left,1.21209729315223,29,,brighter
221,2,0.4625,right,0.626019715014694,31,,darker
222,5,0.5,left,1.07058933474633,22,,brighter
223,2,0.4625,right,0.564792737323692,32,,darker
224,9,0.55,left,1.73684859489285,30,,brighter
225,2,0.4625,right,1.02540072328435,33,,darker
226,5,0.5,left,1.73616023562309,23,,brighter
227,5,0.5,left,1.44078167394737,24,,darker
228,1,0.45,right,1.98027044661161,24,,darker
229,4,0.4875,right,1.56548238014381,20,,brighter
230,8,0.5375,left,1.7333646560336,25,,brighter
231,2,0.4625,left,1.20846870040636,34,,darker
232,6,0.5125,left,1.71721112764538,21,,brighter
233,9,0.55,right,1.19391523284512,31,,brighter
234,3,0.475,left,1.32794130839581,27,,darker
235,9,0.55,right,1.76038320802289,32,,brighter
236,9,0.55,left,1.06223154003632,33,,brighter
237,1,0.45,left,0.689424164544242,25,,darker
238,9,0.55,right,0.878216729998394,34,,brighter
239,1,0.45,left,1.1089740630915,26,,darker
240,5,0.5,left,1.23033118887769,25,,darker
241,5,0.5,left,1.64896141438571,26,,brighter
242,8,0.5375,right,0.890399855216298,26,,brighter
243,8,0.5375,right,1.58337161745075,27,,darker
244,6,0.5125,left,1.22466059585063,22,,darker
245,5,0.5,right,1.17949092352668,27,,darker
246,2,0.4625,right,1.17259111526465,35,,darker
247,8,0.5375,right,1.52112248609579,28,,brighter
248,7,0.525,right,1.51001025249467,29,,brighter
249,4,0.4875,left,1.44789810775342,21,,darker
250,2,0.4625,left,0.7450106486126,36,,darker
251,8,0.5375,left,1.76716282828445,29,,brighter
252,4,0.4875,right,0.672661216021428,22,,darker
253,4,0.4875,left,0.976982835372354,23,,darker
254,6,0.5125,left,0.625787975751225,23,,brighter
255,1,0.45,right,1.84938700600399,27,,darker
256,8,0.5375,right,1.61659484595162,30,,brighter
257,1,0.45,right,1.67430656425694,28,,darker
258,8,0.5375,left,1.50723596620593,31,,brighter
259,4,0.4875,right,0.856126739180903,24,,darker
260,6,0.5125,left,1.60877674805719,24,,brighter
261,7,0.525,right,1.57121003092872,30,,darker
262,5,0.5,right,1.50780564969723,28,,brighter
263,2,0.4625,right,1.52228628076279,37,,darker
264,1,0.45,right,1.74227735122547,29,,darker
265,3,0.475,left,0.931578245615962,28,,darker
266,2,0.4625,left,1.39473407054382,38,,darker
267,9,0.55,left,1.98939453644586,35,,brighter
268,1,0.45,right,1.37137572585307,30,,darker
269,4,0.4875,right,1.13193008761822,25,,darker
270,5,0.5,left,0.812914251831734,29,,brighter
271,4,0.4875,right,0.600278683492103,26,,brighter
272,6,0.5125,right,1.4522998212101,25,,brighter
273,9,0.55,left,0.708715209232688,36,,brighter
274,8,0.5375,right,0.756865584616535,32,,brighter
275,9,0.55,left,1.13910263137123,37,,brighter
276,5,0.5,right,1.63403316023641,30,,darker
277,5,0.5,left,0.758115091323904,31,,darker
278,5,0.5,left,1.49928897732727,32,,darker
279,5,0.5,left,1.1704254391318,33,,darker
280,6,0.5125,left,1.10653406892569,26,,brighter
281,5,0.5,left,1.25423597126962,34,,darker
282,4,0.4875,left,0.931127191293391,27,,darker
283,9,0.55,right,1.46135437009174,38,,brighter
284,8,0.5375,left,1.05777574405834,33,,brighter
285,9,0.55,right,1.73575068303655,39,,brighter
286,5,0.5,left,1.93816649574079,35,,darker
287,3,0.475,left,0.802516554692468,29,,darker
288,1,0.45,left,0.912232737117766,31,,darker
289,4,0.4875,right,0.911954925969342,28,,darker
290,1,0.45,right,0.641188840135889,32,,darker
291,1,0.45,left,0.618670553195789,33,,darker
292,4,0.4875,left,0.63372547033317,29,,brighter
293,3,0.475,right,1.53174678759397,30,,darker
294,8,0.5375,right,0.677668767675016,34,,brighter
295,4,0.4875,right,0.500865366418672,30,,darker
296,7,0.525,right,1.26398354192713,31,,brighter
297,3,0.475,right,1.42181218671452,31,,darker
298,5,0.5,right,0.822347883766132,36,,darker
299,6,0.5125,left,1.28991205257755,27,,brighter
300,9,0.55,left,1.25970959377627,40,,brighter
301,4,0.4875,left,0.797262153659976,31,,darker
302,3,0.475,right,0.573004378891717,32,,darker
303,8,0.5375,right,1.98672305665824,35,,brighter
304,4,0.4875,left,0.648113193287947,32,,darker
305,7,0.525,right,1.2536745213072,32,,brighter
306,6,0.5125,right,0.8533196744918,28,,brighter
307,1,0.45,left,1.9553395919125,34,,darker
308,6,0.5125,right,1.80641637728729,29,,brighter
309,5,0.5,left,0.868317688329085,37,,brighter
310,6,0.5125,right,0.651543629235765,30,,darker
311,6,0.5125,left,1.9070426119235,31,,brighter
312,6,0.5125,left,1.78034284925602,32,,brighter
313,1,0.45,right,1.26701628250471,35,,darker
314,5,0.5,left,1.54691347465538,38,,brighter
315,9,0.55,right,1.66904921974788,41,,brighter
316,2,0.4625,left,1.0135179960053,39,,darker
317,7,0.525,left,0.576006894872636,33,,brighter
318,4,0.4875,right,1.37867877367056,33,,darker
319,7,0.525,left,1.00371547850911,34,,brighter
320,8,0.5375,left,0.587538313189679,36,,brighter
321,7,0.525,right,1.04102011778349,35,,brighter
322,6,0.5125,left,0.590107108460596,33,,brighter
323,8,0.5375,right,1.1857021941684,37,,brighter
324,8,0.5375,left,1.95502515242206,38,,brighter
325,5,0.5,right,1.30051576708221,39,,brighter
326,4,0.4875,right,0.724063118125918,34,,brighter
327,2,0.4625,left,1.47060385853582,40,,darker
328,6,0.5125,left,0.564855450596016,34,,brighter
329,2,0.4625,left,1.22836602697076,41,,darker
330,3,0.475,right,1.57553066324241,33,,darker
331,5,0.5,right,1.50485479930117,40,,darker
332,8,0.5375,right,0.613565771487601,39,,brighter
333,9,0.55,left,1.57632027767012,42,,brighter
334,6,0.5125,right,0.659725605004669,35,,brighter
335,4,0.4875,right,1.42086451546473,35,,darker
336,7,0.525,right,0.990974994013644,36,,brighter
337,5,0.5,right,1.19639595436382,41,,darker
338,3,0.475,right,1.80094430314693,34,,darker
339,9,0.55,left,0.902897140780043,43,,brighter
340,6,0.5125,left,0.581145382270452,36,,brighter
341,6,0.5125,left,0.765298109193017,37,,brighter
342,9,0.55,left,1.06119738661788,44,,brighter
343,1,0.45,right,1.83656759716383,36,,darker
344,4,0.4875,right,0.960172113190333,36,,brighter
345,8,0.5375,left,1.36115466776194,40,,brighter
346,1,0.45,left,0.948552282665107,37,,darker
347,6,0.5125,left,1.16546427080674,38,,brighter
348,2,0.4625,right,0.870217345324958,42,,darker
349,9,0.55,right,1.16999063184096,45,,brighter
350,4,0.4875,left,1.91114098549097,37,,darker
351,1,0.45,left,1.03390448657557,38,,darker
352,7,0.525,left,0.724077463402347,37,,brighter
353,1,0.45,right,0.871193836320713,39,,darker
354,3,0.475,left,0.735667583339382,35,,darker
355,2,0.4625,right,1.30025983368779,43,,darker
356,2,0.4625,left,1.59796014124195,44,,darker
357,7,0.525,left,0.777406686356859,38,,brighter
358,1,0.45,left,0.721782977294404,40,,darker
359,4,0.4875,right,0.545398275730947,38,,darker
360,5,0.5,left,1.53299961896966,42,,darker
361,9,0.55,right,0.822468633117371,46,,brighter
362,8,0.5375,right,1.79068970411412,41,,brighter
363,3,0.475,left,1.97746991996775,36,,darker
364,3,0.475,right,1.4970355137379,37,,darker
365,7,0.525,right,1.28124804023021,39,,darker
366,6,0.5125,right,1.37113609032613,39,,brighter
367,3,0.475,right,1.05549107658865,38,,darker
368,5,0.5,right,1.510402694635,43,,darker
369,4,0.4875,left,0.855809900079193,39,,brighter
370,3,0.475,left,0.641839100539887,39,,darker
371,6,0.5125,right,1.67445911423905,40,,brighter
372,3,0.475,left,0.745586300485516,40,,darker
373,8,0.5375,right,0.661799051991411,42,,brighter
374,1,0.45,left,1.58773637297343,41,,darker
375,4,0.4875,left,1.80860077139044,40,,darker
376,2,0.4625,left,0.543633070544665,45,,darker
377,5,0.5,right,1.04810014399662,44,,brighter
378,7,0.525,right,1.37285798038523,40,,brighter
379,6,0.5125,left,1.84696699733193,41,,brighter
380,3,0.475,right,1.9875847411501,41,,brighter
381,8,0.5375,left,1.06316055348549,43,,brighter
382,9,0.55,left,1.0371101427378,47,,brighter
383,7,0.525,right,0.514549846976787,41,,brighter
384,7,0.525,left,1.63942104600789,42,,darker
385,6,0.5125,right,1.52109553264022,42,,brighter
386,8,0.5375,left,0.760181158352512,44,,brighter
387,2,0.4625,right,1.90457127995001,46,,darker
388,9,0.55,right,0.655102506880573,48,,brighter
